Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForData,Chrome 97.0.4692.99,,,2022-02-01 10:03:17,2022-02-01 10:05:12,1m - 54.815s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_1-login,Chrome 97.0.4692.99,Login verificacion (contraseña incorrecta),Login verificacion ,2022-02-01 10:03:19,2022-02-01 10:05:12,1m - 53.250s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 10:03:20,2022-02-01 10:04:31,1m - 11.001s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-02-01 10:04:31,2022-02-01 10:04:40,8.359s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:04:40,2022-02-01 10:04:50,9.950s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), UsernameC)",Chrome 97.0.4692.99,,,2022-02-01 10:04:50,2022-02-01 10:04:59,9.354s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-02-01 10:04:59,2022-02-01 10:05:00,0.460s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-02-01 10:05:00,2022-02-01 10:05:02,1.968s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:05:02,2022-02-01 10:05:02,0.872s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), PasswordI)",Chrome 97.0.4692.99,,,2022-02-01 10:05:02,2022-02-01 10:05:03,0.849s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""))",Chrome 97.0.4692.99,,,2022-02-01 10:05:03,2022-02-01 10:05:04,0.380s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-02-01 10:05:04,2022-02-01 10:05:04,0.541s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _c3c363""))",Chrome 97.0.4692.99,,,2022-02-01 10:05:04,2022-02-01 10:05:07,3.021s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-02-01 10:05:07,2022-02-01 10:05:10,3.099s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 10:05:10,2022-02-01 10:05:12,1.595s,PASSED
