Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForDataTests,Chrome 97.0.4692.99,,,2022-01-31 15:41:35,2022-01-31 15:45:17,3m - 41.614s,FAILED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_1-login,Chrome 97.0.4692.99,Login verificacion (contraseña incorrecta),Login verificacion ,2022-01-31 15:44:46,2022-01-31 15:45:17,31.078s,FAILED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 15:44:46,2022-01-31 15:44:58,12.351s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 15:44:58,2022-01-31 15:45:17,18.680s,FAILED
