Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(3),Chrome 97.0.4692.99,,,2022-02-01 10:08:34,2022-02-01 10:08:37,3.009s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 10:08:37,2022-02-01 10:08:47,9.531s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_4_login,Chrome 97.0.4692.99,Login verificacion (contraseña vacia),Login verificacion,2022-02-01 10:08:47,2022-02-01 10:09:11,24.620s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 10:08:48,2022-02-01 10:08:55,7.350s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-02-01 10:08:55,2022-02-01 10:09:01,6.257s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:09:01,2022-02-01 10:09:03,1.633s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay4/Script4/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), UsernameC2)",Chrome 97.0.4692.99,,,2022-02-01 10:09:03,2022-02-01 10:09:04,0.906s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:04,2022-02-01 10:09:04,0.548s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay4/Script4/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:04,2022-02-01 10:09:05,0.550s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay4/Script4/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:05,2022-02-01 10:09:07,1.871s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay4/Script4/Page_Amazon Iniciar sesin/div_Introduce tu contrasea""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:07,2022-02-01 10:09:07,0.565s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-02-01 10:09:07,2022-02-01 10:09:10,3.012s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 10:09:10,2022-02-01 10:09:11,0.888s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_5_login,Chrome 97.0.4692.99,Login verificacion (correo vacio),Login verificacion,2022-02-01 10:09:11,2022-02-01 10:09:26,14.901s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 10:09:12,2022-02-01 10:09:14,1.834s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-02-01 10:09:14,2022-02-01 10:09:20,5.608s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:09:20,2022-02-01 10:09:21,0.979s,PASSED
"click(findTestObject(""Object Repository/RecorAndReplay5/Script/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:21,2022-02-01 10:09:22,0.966s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:22,2022-02-01 10:09:22,0.417s,PASSED
"click(findTestObject(""Object Repository/RecorAndReplay5/Script/Page_Amazon Iniciar sesin/div_Escriba su correo electrnico o su nmero_20b649""))",Chrome 97.0.4692.99,,,2022-02-01 10:09:22,2022-02-01 10:09:22,0.476s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-02-01 10:09:22,2022-02-01 10:09:25,3.015s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 10:09:25,2022-02-01 10:09:26,0.881s,PASSED
