Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForData,Chrome 97.0.4692.99,,,2022-02-01 10:05:46,2022-02-01 10:09:26,3m - 40.475s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_1-login,Chrome 97.0.4692.99,Login verificacion (contraseña incorrecta),Login verificacion ,2022-02-01 10:05:47,2022-02-01 10:07:05,1m - 18.107s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 10:05:48,2022-02-01 10:06:16,27.773s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-02-01 10:06:16,2022-02-01 10:06:23,7.001s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:06:23,2022-02-01 10:06:35,11.960s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), UsernameC)",Chrome 97.0.4692.99,,,2022-02-01 10:06:35,2022-02-01 10:06:48,13.479s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-02-01 10:06:48,2022-02-01 10:06:49,0.458s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-02-01 10:06:49,2022-02-01 10:06:53,4.206s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:06:53,2022-02-01 10:06:53,0.502s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), PasswordI)",Chrome 97.0.4692.99,,,2022-02-01 10:06:53,2022-02-01 10:06:54,0.759s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""))",Chrome 97.0.4692.99,,,2022-02-01 10:06:54,2022-02-01 10:06:54,0.382s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-02-01 10:06:54,2022-02-01 10:06:55,0.634s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _c3c363""))",Chrome 97.0.4692.99,,,2022-02-01 10:06:55,2022-02-01 10:06:58,3.266s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-02-01 10:06:58,2022-02-01 10:07:01,3.120s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 10:07:01,2022-02-01 10:07:05,3.351s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_2_login,Chrome 97.0.4692.99,Login verificacion (correo incorrect0),Login verificacion,2022-02-01 10:07:05,2022-02-01 10:07:55,50.009s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 10:07:06,2022-02-01 10:07:34,28.250s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-02-01 10:07:34,2022-02-01 10:07:42,8.585s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:07:42,2022-02-01 10:07:46,3.530s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay2/Script2/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), UsernameI)",Chrome 97.0.4692.99,,,2022-02-01 10:07:46,2022-02-01 10:07:47,0.985s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-02-01 10:07:47,2022-02-01 10:07:48,0.647s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay2/Script2/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-02-01 10:07:48,2022-02-01 10:07:50,1.904s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay2/Script2/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _cb4f21""))",Chrome 97.0.4692.99,,,2022-02-01 10:07:50,2022-02-01 10:07:51,1.294s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-02-01 10:07:51,2022-02-01 10:07:54,3.010s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 10:07:54,2022-02-01 10:07:55,0.961s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_3_login,Chrome 97.0.4692.99,Login verificacion (correo y contraseña correcta),Login verificacion,2022-02-01 10:07:55,2022-02-01 10:08:47,51.794s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 10:07:56,2022-02-01 10:08:01,4.508s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-02-01 10:08:01,2022-02-01 10:08:17,16.752s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:08:17,2022-02-01 10:08:24,6.714s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay3/Script3/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), UsernameP)",Chrome 97.0.4692.99,,,2022-02-01 10:08:24,2022-02-01 10:08:25,1.074s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-02-01 10:08:25,2022-02-01 10:08:26,1.179s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay3/Script3/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-02-01 10:08:26,2022-02-01 10:08:31,4.310s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""), 0)",Chrome 97.0.4692.99,,,2022-02-01 10:08:31,2022-02-01 10:08:32,1.672s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay3/Script3/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), PasswordP)",Chrome 97.0.4692.99,,,2022-02-01 10:08:32,2022-02-01 10:08:33,0.586s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""))",Chrome 97.0.4692.99,,,2022-02-01 10:08:33,2022-02-01 10:08:34,0.572s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay3/Script3/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-02-01 10:08:34,2022-02-01 10:08:34,0.572s,PASSED
